timestep,ue_id,x,y,z,vx,vy,vz,rsrp_bs_0,sinr_bs_0,rsrp_bs_1,sinr_bs_1,rsrp_bs_2,sinr_bs_2,rsrp_bs_3,sinr_bs_3
0,0,50.0,120.0,1.5,1.7999999999999972,1.0712008162749527,0.0,-72.3612230511161,13.937288326349831,-83.90867206716857,3.0143847832927673,-85.75312862339689,0.18883846996976694,-91.73401103426713,-5.934546556492598
1,0,51.8,121.07120081627495,1.5,1.8000000000000007,1.0705177251011762,0.0,-73.82212001946193,12.963652482124186,-82.39328778397487,5.377609093559391,-87.50094737904425,-1.0148506067801826,-90.47608101463722,-4.415411749466375
2,0,53.6,122.14103545020235,1.5,1.8000000000000007,1.0684693227769984,0.0,-71.52214106227032,13.79446965336949,-83.93965915306563,0.973078386221955,-88.82571400512816,-1.7391161791655645,-92.54986993756282,-6.217854483610417
3,0,55.4,123.20813946182895,1.5,1.8000000000000007,1.0650582217827775,0.0,-71.14411349993287,14.2675099720208,-83.28846400224916,2.121126341173806,-87.7192134128526,-1.174726109325471,-89.12678624562771,-1.4999789202842508
4,0,57.2,124.27115189376791,1.5,1.8000000000000007,1.0602887725501944,0.0,-74.46599566684738,13.686407664134956,-83.98903910134415,1.7502151849826753,-87.59482885711856,-1.6119530804306832,-90.99818420028922,-4.983103149525689
5,0,59.0,125.32871700692934,1.5,1.7999999999999972,1.0541670579138085,0.0,-73.5414827261795,11.743030985774462,-84.06049572991088,3.458119806453755,-89.15425572814233,-3.312135595658247,-90.44935722568053,-3.526816370138299
6,0,60.8,126.37948600959552,1.5,1.8000000000000007,1.0467008853531752,0.0,-71.68203026964676,13.622554525599147,-84.72611287391668,1.723539204117823,-87.78794595571476,-2.096616123898277,-87.97846483363723,-2.113724926232022
7,0,62.6,127.42211877763569,1.5,1.8000000000000043,1.037899777035392,0.0,-72.07427087645779,15.447358686406112,-83.20873549083805,3.5047610865291325,-88.33586901510421,-2.896721236669991,-88.92161116052986,-2.541239853838745
8,0,64.4,128.4552855636663,1.5,1.8000000000000007,1.0277749576707293,0.0,-71.57736760204364,16.6717952245278,-84.6809567522541,0.3851110793724458,-86.30020655628736,1.55155388976186,-91.08110410603584,-5.123732366679544
9,0,66.2,129.47766869297715,1.5,1.7999999999999972,1.0163393401969785,0.0,-72.44668800860384,12.417494841825375,-82.7940932063617,2.169858269374271,-87.33200199819362,-1.1814069765232502,-91.39692654760337,-4.7374109050118065
